,Gini_Importance,Permutation_Importance
worst concave points,0.10526124825247514,0.026587301587301597
worst area,0.13969491632168318,0.020039682539682566
mean concave points,0.1029822560827009,0.019841269841269882
worst perimeter,0.15440948321769488,0.01865079365079369
worst texture,0.019517325557676966,0.0156746031746032
mean texture,0.013562351405835464,0.012367724867724883
worst concavity,0.03611072836880456,0.011772486772486797
worst radius,0.07145197962346143,0.010846560846560875
area error,0.030449075019964852,0.00873015873015878
worst compactness,0.016848894404686125,0.002843915343915356
mean area,0.03810586570721558,0.002777777777777768
radius error,0.010483133858316514,0.0023809523809523946
texture error,0.0035354493923393493,0.0007936507936507982
worst symmetry,0.00987583027847706,0.0004629629629629613
mean radius,0.04910460341793812,0.0
symmetry error,0.004254595629838591,0.0
worst smoothness,0.013720836670109095,0.0
fractal dimension error,0.00287744618455484,0.0
compactness error,0.003782243105801115,0.0
concave points error,0.0024229428287283507,0.0
concavity error,0.0066519594727247455,0.0
smoothness error,0.004067703873190592,0.0
perimeter error,0.007488880407935962,0.0
mean fractal dimension,0.004807688147111584,0.0
mean symmetry,0.0037807410891729392,0.0
mean concavity,0.055052956463190306,0.0
mean compactness,0.016382095839629476,0.0
mean smoothness,0.006405940449815715,0.0
mean perimeter,0.06184303951796395,0.0
worst fractal dimension,0.005067789410962631,0.0
