,Gini_Importance,Permutation_Importance
ca,0.12033864780952024,0.043362193362193366
cp,0.13201737045236261,0.04134199134199137
oldpeak,0.09181311288189502,0.009632034632034613
exang,0.06269761703950179,0.005194805194805152
thalach,0.11279881887366584,-0.001911976911976924
fbs,0.006596381249592508,-0.005772005772005784
chol,0.06363724583346461,-0.006421356421356424
sex,0.042673822459445426,-0.008621933621933635
restecg,0.016060332604991352,-0.009090909090909084
age,0.07432116923997217,-0.010930735930735931
trestbps,0.06006998393720981,-0.01313131313131312
thal,0.1739748632703106,-0.01515151515151516
slope,0.04300063434806806,-0.016161616161616148
