ID,Year_Birth,Education,Marital_Status,Income,Kidhome,Teenhome,Recency,MntWines,MntFruits,MntMeatProducts,NumDealsPurchases,NumWebPurchases,NumStorePurchases,Response
1000,1988,Master,Married,59957.040155386385,0,2,19,282,7,239,3,5,5,0
1001,1978,2n Cycle,Married,72332.59349772618,1,0,77,96,11,223,1,5,7,0
1002,1964,PhD,Married,47923.53749758853,0,0,13,359,36,3,2,4,1,0
1003,1992,2n Cycle,Together,64941.967866116145,0,0,7,49,7,112,1,0,4,0
1004,1957,Master,Together,58206.92549689155,0,1,47,34,29,8,2,2,8,0
1005,1970,PhD,Single,39845.197196678884,0,0,12,229,26,120,1,5,5,0
1006,1988,PhD,Married,30829.486270857702,1,1,23,243,105,190,3,4,5,0
1007,1968,Graduation,Married,33632.23022558683,1,1,78,33,1,19,2,2,8,0
1008,1972,Graduation,Together,57857.8513830943,0,0,64,998,3,178,2,5,5,0
1009,1960,PhD,Together,50877.09736029591,0,1,85,255,21,89,4,2,9,0
1010,1960,Graduation,Together,77501.86043763396,1,0,33,49,22,250,3,2,7,0
1011,1973,Basic,Married,67817.40224407788,0,0,50,111,1,114,1,8,10,1
1012,1985,2n Cycle,Divorced,67775.69966254603,0,0,2,483,52,61,2,1,2,0
1013,1989,Master,Married,57261.61603424445,1,0,89,222,20,60,3,0,4,0
1014,1973,Graduation,Together,32756.021013566708,0,0,77,62,12,341,5,7,4,0
1015,1952,Graduation,Single,58506.78591949983,0,0,57,32,11,90,2,5,8,0
1016,1971,Graduation,Together,53277.063300564456,0,0,71,169,59,78,1,6,3,0
1017,1951,PhD,Married,29232.372228885044,1,0,54,123,6,6,1,2,5,1
1018,1973,Master,Together,76198.98517117424,0,0,79,320,5,67,2,1,9,0
1019,1993,2n Cycle,Single,74045.78749858303,2,1,41,778,7,284,0,5,4,0
1020,1979,Graduation,Married,29117.01711165879,1,0,20,85,29,214,2,4,3,1
1021,1987,2n Cycle,Married,39244.10189766943,0,1,9,579,49,37,3,4,6,0
1022,1951,Basic,Married,41000.99561119047,0,0,56,759,12,79,1,6,5,0
1023,1970,Graduation,Single,64197.03087599231,0,0,24,696,5,32,1,4,4,1
1024,1982,Basic,Married,61894.503609079926,0,0,55,911,7,462,0,5,8,0
1025,1961,Graduation,Widow,52888.14425572713,1,0,37,553,28,136,0,3,11,0
1026,1971,Graduation,Together,57477.1456079825,0,0,85,270,8,210,2,2,5,0
1027,1993,PhD,Widow,26247.35607108933,0,0,60,158,62,187,2,1,7,0
1028,1974,Graduation,Divorced,59627.22562716906,1,2,46,202,3,310,0,5,4,0
1029,1998,PhD,Together,49982.29248907859,0,2,53,618,0,447,2,3,5,0
1030,1976,PhD,Married,38419.13634882821,1,0,45,107,2,4,5,1,6,0
1031,1991,PhD,Married,21349.87452139362,1,1,67,52,56,555,3,3,7,0
1032,1977,Graduation,Married,52539.22312372704,0,0,3,45,31,306,3,5,6,0
1033,1965,PhD,Single,59139.197924356195,0,0,93,526,94,72,5,8,6,0
1034,1964,PhD,Married,17950.36396586825,1,1,65,429,12,272,2,2,11,1
1035,1996,PhD,Married,52369.721413128595,1,0,92,206,7,200,5,5,6,0
1036,1993,Graduation,Together,54444.79503696991,0,0,42,96,24,236,1,5,2,1
1037,1952,Graduation,Divorced,40915.40913704679,0,0,61,339,23,37,2,2,7,0
1038,1986,PhD,Married,59596.76404790348,0,0,99,11,26,156,3,8,10,0
1039,1956,Graduation,Married,49346.751674453604,0,0,84,251,12,3,0,2,2,0
1040,1970,PhD,Married,57663.42010672727,0,0,84,152,0,282,2,3,7,0
1041,1958,Master,Divorced,62684.938657501116,0,0,84,1143,1,452,2,2,6,0
1042,1988,PhD,Together,62696.138123010474,0,0,3,212,32,162,3,4,5,0
1043,1967,PhD,Married,72336.40986893003,0,1,64,241,22,107,4,3,7,1
1044,1953,2n Cycle,Married,58766.5037756916,2,0,61,373,51,194,5,8,7,0
1045,1974,Master,Married,42459.18518446358,1,1,89,198,10,59,2,3,7,0
1046,1963,2n Cycle,Married,39044.19910493606,0,1,1,76,50,147,1,5,9,0
1047,1999,Master,Divorced,30733.82494262755,0,1,8,231,16,190,3,4,7,1
1048,1958,Graduation,Single,55023.59286225812,0,1,56,866,3,23,3,3,8,0
1049,1975,Graduation,Together,78426.23429305047,0,0,44,158,114,22,3,0,5,0
1050,1951,PhD,Divorced,44830.947880256994,2,0,17,341,21,188,4,4,8,0
1051,1969,Graduation,Married,60992.164954199194,0,0,47,1145,29,84,2,5,12,0
1052,1977,Graduation,Single,36954.39990969679,2,2,41,531,33,330,2,6,9,0
1053,1996,Graduation,Divorced,55896.09830321269,0,0,40,322,13,56,0,4,6,0
1054,1956,PhD,Married,77186.9425614888,1,0,74,399,41,6,2,3,3,0
1055,1993,Master,Single,65724.95946663886,0,0,88,826,61,157,1,3,7,1
1056,1957,Master,Married,20583.759337216863,0,2,89,963,14,172,3,6,7,0
1057,1996,PhD,Married,63413.89632071089,0,0,57,1041,32,120,2,3,9,0
1058,1984,Master,Married,64324.51557587104,1,0,99,294,42,172,3,6,6,0
1059,1963,Graduation,Together,55469.73946454177,1,0,41,145,6,111,4,10,5,1
1060,1966,Basic,Single,65350.44225404682,1,2,34,42,12,176,1,5,2,0
1061,1985,Graduation,Divorced,35329.95920564924,1,0,37,146,3,6,2,2,6,0
1062,1999,2n Cycle,Together,53265.26309608172,1,0,66,859,27,68,2,2,4,0
1063,1989,PhD,Divorced,74203.47881876203,0,1,40,661,48,35,1,2,5,0
1064,1953,Graduation,Single,72398.98966932735,0,0,98,222,28,15,3,2,6,0
1065,1951,Graduation,Married,62960.89948011942,1,1,49,231,5,40,3,6,8,0
1066,1955,Graduation,Together,34340.09552998234,1,0,85,110,23,31,2,3,6,0
1067,1991,Graduation,Married,31190.72458761443,1,0,71,181,54,542,1,4,5,0
1068,1953,Graduation,Single,54290.87348886709,0,1,78,375,10,50,3,1,6,0
1069,1978,PhD,Divorced,55615.48477451681,0,2,44,154,53,39,4,5,3,0
1070,1967,PhD,Married,49992.56455445487,2,0,70,62,46,270,2,2,5,1
1071,1975,PhD,Single,35904.300436066944,0,0,18,233,0,81,3,5,5,1
1072,1993,2n Cycle,Together,60739.22150780787,0,1,16,76,8,82,0,5,10,0
1073,1983,PhD,Together,54203.30697389083,1,0,64,1098,23,87,2,3,11,0
1074,1959,PhD,Married,57796.486331009466,2,2,92,148,37,80,2,3,6,1
1075,1985,Graduation,Married,63868.6751924822,0,2,76,721,63,59,2,5,5,0
1076,1963,Master,Married,46527.00424643975,1,0,55,76,30,50,1,5,4,0
1077,1980,Graduation,Married,42224.83245241127,2,2,92,62,14,320,1,6,6,0
1078,1997,2n Cycle,Married,74151.30646617246,2,0,40,287,6,26,3,4,7,0
1079,1964,Master,Together,36852.83026939664,2,1,41,453,42,29,2,3,5,0
1080,1957,PhD,Married,42616.51601075985,0,0,5,250,6,127,1,5,10,0
1081,1963,Graduation,Divorced,76684.95630854946,0,1,68,78,35,63,1,0,3,0
