ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,Year
13000000,JH13000000,12/16/2025 12:00:00 AM,100X N STATE ST,0820,THEFT,$500 AND UNDER,STREET,false,false,1224,11,42,8,06,2025
13000001,JH13000001,12/16/2025 12:00:00 AM,100X N STATE ST,0820,ROBBERY,$500 AND UNDER,STREET,false,true,1224,8,42,8,06,2025
13000002,JH13000002,12/16/2025 12:00:00 AM,100X N STATE ST,0820,CRIMINAL DAMAGE,$500 AND UNDER,STREET,false,false,1224,24,42,8,06,2025
13000003,JH13000003,12/16/2025 12:00:00 AM,100X N STATE ST,0820,BURGLARY,$500 AND UNDER,STREET,false,false,1224,7,42,8,06,2025
13000004,JH13000004,12/16/2025 12:00:00 AM,100X N STATE ST,0820,THEFT,$500 AND UNDER,STREET,false,false,1224,20,42,8,06,2025
13000005,JH13000005,12/16/2025 12:00:00 AM,100X N STATE ST,0820,CRIMINAL DAMAGE,$500 AND UNDER,STREET,false,false,1224,11,42,8,06,2025
13000006,JH13000006,12/16/2025 12:00:00 AM,100X N STATE ST,0820,BURGLARY,$500 AND UNDER,STREET,false,false,1224,11,42,8,06,2025
13000007,JH13000007,12/16/2025 12:00:00 AM,100X N STATE ST,0820,CRIMINAL DAMAGE,$500 AND UNDER,STREET,false,false,1224,24,42,8,06,2025
13000008,JH13000008,12/16/2025 12:00:00 AM,100X N STATE ST,0820,ASSAULT,$500 AND UNDER,STREET,false,false,1224,4,42,8,06,2025
13000009,JH13000009,12/16/2025 12:00:00 AM,100X N STATE ST,0820,DECEPTIVE PRACTICE,$500 AND UNDER,STREET,false,false,1224,8,42,8,06,2025
13000010,JH13000010,12/16/2025 12:00:00 AM,100X N STATE ST,0820,CRIMINAL DAMAGE,$500 AND UNDER,STREET,false,false,1224,3,42,8,06,2025
13000011,JH13000011,12/16/2025 12:00:00 AM,100X N STATE ST,0820,ASSAULT,$500 AND UNDER,STREET,true,false,1224,25,42,8,06,2025
13000012,JH13000012,12/16/2025 12:00:00 AM,100X N STATE ST,0820,ASSAULT,$500 AND UNDER,STREET,false,false,1224,24,42,8,06,2025
13000013,JH13000013,12/16/2025 12:00:00 AM,100X N STATE ST,0820,ROBBERY,$500 AND UNDER,STREET,false,false,1224,2,42,8,06,2025
13000014,JH13000014,12/16/2025 12:00:00 AM,100X N STATE ST,0820,THEFT,$500 AND UNDER,STREET,false,false,1224,12,42,8,06,2025
13000015,JH13000015,12/16/2025 12:00:00 AM,100X N STATE ST,0820,BATTERY,$500 AND UNDER,STREET,false,true,1224,6,42,8,06,2025
13000016,JH13000016,12/16/2025 12:00:00 AM,100X N STATE ST,0820,NARCOTICS,$500 AND UNDER,STREET,false,false,1224,2,42,8,06,2025
13000017,JH13000017,12/16/2025 12:00:00 AM,100X N STATE ST,0820,ROBBERY,$500 AND UNDER,STREET,false,false,1224,24,42,8,06,2025
13000018,JH13000018,12/16/2025 12:00:00 AM,100X N STATE ST,0820,CRIMINAL DAMAGE,$500 AND UNDER,STREET,false,false,1224,1,42,8,06,2025
13000019,JH13000019,12/16/2025 12:00:00 AM,100X N STATE ST,0820,ASSAULT,$500 AND UNDER,STREET,true,false,1224,12,42,8,06,2025
13000020,JH13000020,12/16/2025 12:00:00 AM,100X N STATE ST,0820,BATTERY,$500 AND UNDER,STREET,false,true,1224,25,42,8,06,2025
13000021,JH13000021,12/16/2025 12:00:00 AM,100X N STATE ST,0820,THEFT,$500 AND UNDER,STREET,false,false,1224,12,42,8,06,2025
13000022,JH13000022,12/16/2025 12:00:00 AM,100X N STATE ST,0820,CRIMINAL DAMAGE,$500 AND UNDER,STREET,false,false,1224,18,42,8,06,2025
13000023,JH13000023,12/16/2025 12:00:00 AM,100X N STATE ST,0820,BATTERY,$500 AND UNDER,STREET,false,false,1224,10,42,8,06,2025
13000024,JH13000024,12/16/2025 12:00:00 AM,100X N STATE ST,0820,ASSAULT,$500 AND UNDER,STREET,true,false,1224,17,42,8,06,2025
13000025,JH13000025,12/16/2025 12:00:00 AM,100X N STATE ST,0820,THEFT,$500 AND UNDER,STREET,false,false,1224,16,42,8,06,2025
13000026,JH13000026,12/16/2025 12:00:00 AM,100X N STATE ST,0820,BURGLARY,$500 AND UNDER,STREET,false,false,1224,16,42,8,06,2025
13000027,JH13000027,12/16/2025 12:00:00 AM,100X N STATE ST,0820,BURGLARY,$500 AND UNDER,STREET,true,false,1224,20,42,8,06,2025
13000028,JH13000028,12/16/2025 12:00:00 AM,100X N STATE ST,0820,DECEPTIVE PRACTICE,$500 AND UNDER,STREET,false,true,1224,12,42,8,06,2025
13000029,JH13000029,12/16/2025 12:00:00 AM,100X N STATE ST,0820,CRIMINAL DAMAGE,$500 AND UNDER,STREET,false,false,1224,22,42,8,06,2025
13000030,JH13000030,12/16/2025 12:00:00 AM,100X N STATE ST,0820,BATTERY,$500 AND UNDER,STREET,false,false,1224,3,42,8,06,2025
13000031,JH13000031,12/16/2025 12:00:00 AM,100X N STATE ST,0820,MOTOR VEHICLE THEFT,$500 AND UNDER,STREET,false,false,1224,5,42,8,06,2025
13000032,JH13000032,12/16/2025 12:00:00 AM,100X N STATE ST,0820,DECEPTIVE PRACTICE,$500 AND UNDER,STREET,false,false,1224,20,42,8,06,2025
13000033,JH13000033,12/16/2025 12:00:00 AM,100X N STATE ST,0820,THEFT,$500 AND UNDER,STREET,false,false,1224,7,42,8,06,2025
13000034,JH13000034,12/16/2025 12:00:00 AM,100X N STATE ST,0820,ROBBERY,$500 AND UNDER,STREET,false,false,1224,24,42,8,06,2025
13000035,JH13000035,12/16/2025 12:00:00 AM,100X N STATE ST,0820,MOTOR VEHICLE THEFT,$500 AND UNDER,STREET,false,false,1224,9,42,8,06,2025
13000036,JH13000036,12/16/2025 12:00:00 AM,100X N STATE ST,0820,NARCOTICS,$500 AND UNDER,STREET,false,false,1224,7,42,8,06,2025
13000037,JH13000037,12/16/2025 12:00:00 AM,100X N STATE ST,0820,DECEPTIVE PRACTICE,$500 AND UNDER,STREET,false,false,1224,19,42,8,06,2025
13000038,JH13000038,12/16/2025 12:00:00 AM,100X N STATE ST,0820,ASSAULT,$500 AND UNDER,STREET,false,false,1224,4,42,8,06,2025
13000039,JH13000039,12/16/2025 12:00:00 AM,100X N STATE ST,0820,BATTERY,$500 AND UNDER,STREET,true,false,1224,15,42,8,06,2025
13000040,JH13000040,12/16/2025 12:00:00 AM,100X N STATE ST,0820,NARCOTICS,$500 AND UNDER,STREET,false,true,1224,19,42,8,06,2025
13000041,JH13000041,12/16/2025 12:00:00 AM,100X N STATE ST,0820,MOTOR VEHICLE THEFT,$500 AND UNDER,STREET,false,true,1224,9,42,8,06,2025
