CustomerID,Top10_RandomForest,Top10_Popularity
12000,"[10228, 10294, 10223, 10099, 10151, 10144, 10154, 10125, 10262, 10207]","[10228, 10294, 10262, 10237, 10144, 10003, 10245, 10180, 10171, 10005]"
12001,"[10228, 10262, 10085, 10240, 10059, 10112, 10171, 10099, 10180, 10217]","[10228, 10085, 10262, 10237, 10144, 10003, 10180, 10171, 10005, 10223]"
12002,"[10294, 10171, 10262, 10099, 10125, 10059, 10144, 10195, 10112, 10100]","[10294, 10262, 10237, 10144, 10003, 10245, 10180, 10171, 10005, 10112]"
12003,"[10197, 10228, 10085, 10059, 10099, 10294, 10223, 10100, 10262, 10281]","[10197, 10228, 10085, 10294, 10262, 10237, 10144, 10003, 10245, 10180]"
12004,"[10188, 10085, 10228, 10125, 10213, 10223, 10294, 10198, 10099, 10243]","[10228, 10188, 10085, 10294, 10237, 10144, 10003, 10245, 10180, 10171]"
12005,"[10114, 10067, 10071, 10163, 10173, 10170, 10201, 10073, 10232, 10095]","[10188, 10085, 10294, 10262, 10144, 10245, 10180, 10171, 10005, 10223]"
12006,"[10197, 10228, 10085, 10262, 10038, 10217, 10224, 10275, 10139, 10059]","[10197, 10228, 10085, 10262, 10144, 10245, 10180, 10171, 10223, 10045]"
12007,"[10073, 10114, 10075, 10071, 10104, 10243, 10163, 10137, 10271, 10216]","[10085, 10262, 10237, 10144, 10245, 10180, 10171, 10005, 10223, 10045]"
12008,"[10268, 10188, 10262, 10180, 10033, 10059, 10112, 10099, 10281, 10275]","[10268, 10188, 10262, 10003, 10245, 10180, 10171, 10005, 10223, 10045]"
12009,"[10197, 10228, 10085, 10224, 10059, 10033, 10125, 10083, 10162, 10171]","[10197, 10228, 10085, 10294, 10262, 10237, 10144, 10003, 10245, 10180]"
12010,"[10085, 10294, 10188, 10237, 10262, 10083, 10180, 10001, 10045, 10003]","[10188, 10085, 10294, 10262, 10237, 10144, 10003, 10180, 10223, 10045]"
12011,"[10085, 10188, 10228, 10217, 10171, 10112, 10038, 10033, 10144, 10281]","[10228, 10188, 10085, 10237, 10144, 10003, 10245, 10180, 10171, 10045]"
12013,"[10268, 10197, 10188, 10085, 10262, 10294, 10171, 10063, 10223, 10099]","[10268, 10197, 10188, 10085, 10294, 10262, 10237, 10245, 10180, 10171]"
12014,"[10188, 10228, 10262, 10059, 10180, 10237, 10001, 10083, 10224, 10217]","[10228, 10188, 10262, 10237, 10003, 10245, 10180, 10005, 10223, 10045]"
12015,"[10197, 10195, 10033, 10083, 10085, 10001, 10228, 10125, 10188, 10240]","[10197, 10228, 10188, 10085, 10294, 10262, 10144, 10003, 10245, 10180]"
12016,"[10075, 10104, 10073, 10014, 10243, 10000, 10021, 10135, 10169, 10216]","[10085, 10237, 10144, 10003, 10245, 10005, 10045, 10125, 10033, 10240]"
12017,"[10188, 10197, 10228, 10144, 10172, 10125, 10021, 10281, 10075, 10274]","[10197, 10228, 10188, 10237, 10144, 10003, 10245, 10045, 10112, 10125]"
12018,"[10228, 10294, 10075, 10104, 10073, 10114, 10163, 10262, 10067, 10021]","[10228, 10294, 10262, 10237, 10144, 10245, 10180, 10171, 10005, 10045]"
12019,"[10268, 10085, 10294, 10188, 10228, 10223, 10033, 10243, 10125, 10100]","[10268, 10228, 10188, 10085, 10294, 10003, 10245, 10005, 10223, 10045]"
12020,"[10085, 10294, 10099, 10217, 10223, 10100, 10059, 10038, 10171, 10049]","[10085, 10294, 10237, 10144, 10003, 10245, 10180, 10171, 10005, 10223]"
12021,"[10085, 10104, 10151, 10294, 10154, 10049, 10075, 10228, 10162, 10055]","[10228, 10085, 10294, 10237, 10144, 10003, 10180, 10171, 10005, 10045]"
12022,"[10197, 10085, 10188, 10228, 10294, 10125, 10099, 10224, 10083, 10223]","[10197, 10228, 10188, 10085, 10294, 10144, 10003, 10180, 10171, 10005]"
12023,"[10085, 10262, 10144, 10223, 10281, 10073, 10173, 10135, 10170, 10163]","[10085, 10262, 10144, 10003, 10180, 10005, 10223, 10112, 10033, 10240]"
12024,"[10085, 10262, 10224, 10033, 10059, 10144, 10100, 10083, 10195, 10260]","[10085, 10262, 10144, 10003, 10245, 10005, 10223, 10045, 10112, 10125]"
12025,"[10188, 10262, 10085, 10294, 10228, 10144, 10237, 10100, 10083, 10003]","[10228, 10188, 10085, 10294, 10262, 10237, 10144, 10003, 10245, 10171]"
12026,"[10197, 10085, 10294, 10059, 10262, 10100, 10299, 10049, 10146, 10033]","[10197, 10228, 10085, 10294, 10262, 10237, 10144, 10003, 10180, 10171]"
12028,"[10188, 10085, 10294, 10262, 10144, 10224, 10100, 10237, 10171, 10211]","[10188, 10085, 10294, 10262, 10237, 10144, 10003, 10245, 10180, 10171]"
12029,"[10085, 10188, 10262, 10144, 10223, 10163, 10180, 10060, 10281, 10171]","[10188, 10085, 10262, 10237, 10144, 10003, 10245, 10180, 10171, 10223]"
12030,"[10085, 10294, 10075, 10273, 10104, 10146, 10021, 10055, 10217, 10262]","[10228, 10085, 10294, 10262, 10237, 10144, 10003, 10245, 10171, 10005]"
12031,"[10188, 10228, 10144, 10262, 10180, 10125, 10083, 10171, 10112, 10099]","[10228, 10188, 10262, 10237, 10144, 10003, 10245, 10180, 10171, 10005]"
12032,"[10197, 10188, 10228, 10294, 10144, 10223, 10125, 10163, 10171, 10203]","[10197, 10228, 10188, 10294, 10237, 10144, 10003, 10180, 10171, 10005]"
12033,"[10085, 10228, 10294, 10262, 10163, 10114, 10073, 10079, 10067, 10243]","[10228, 10085, 10294, 10262, 10237, 10003, 10245, 10005, 10223, 10045]"
12034,"[10197, 10085, 10049, 10217, 10100, 10099, 10171, 10083, 10244, 10275]","[10197, 10228, 10085, 10262, 10144, 10245, 10180, 10171, 10005, 10223]"
12035,"[10197, 10188, 10228, 10085, 10294, 10038, 10146, 10217, 10104, 10224]","[10197, 10228, 10188, 10085, 10294, 10237, 10003, 10245, 10180, 10171]"
12036,"[10085, 10294, 10144, 10114, 10170, 10125, 10163, 10073, 10067, 10083]","[10085, 10294, 10237, 10144, 10003, 10245, 10180, 10005, 10223, 10045]"
12037,"[10197, 10223, 10228, 10171, 10294, 10125, 10100, 10144, 10099, 10262]","[10197, 10228, 10294, 10262, 10237, 10144, 10003, 10180, 10171, 10005]"
12038,"[10197, 10085, 10294, 10188, 10059, 10262, 10033, 10195, 10100, 10217]","[10197, 10188, 10085, 10294, 10262, 10237, 10144, 10003, 10180, 10171]"
12040,"[10085, 10268, 10144, 10262, 10170, 10100, 10099, 10073, 10195, 10245]","[10268, 10085, 10262, 10144, 10003, 10245, 10005, 10033, 10099, 10083]"
12041,"[10085, 10188, 10228, 10262, 10275, 10092, 10033, 10237, 10144, 10083]","[10228, 10188, 10085, 10262, 10237, 10144, 10003, 10245, 10180, 10005]"
12042,"[10085, 10228, 10294, 10075, 10073, 10104, 10135, 10144, 10114, 10243]","[10228, 10085, 10294, 10237, 10144, 10003, 10245, 10180, 10171, 10005]"
12043,"[10197, 10188, 10033, 10223, 10171, 10112, 10083, 10294, 10217, 10195]","[10197, 10188, 10294, 10262, 10237, 10144, 10245, 10171, 10005, 10223]"
12044,"[10197, 10188, 10085, 10228, 10294, 10144, 10223, 10262, 10099, 10125]","[10197, 10228, 10188, 10085, 10294, 10262, 10144, 10003, 10245, 10005]"
12045,"[10197, 10188, 10228, 10085, 10294, 10033, 10224, 10083, 10172, 10281]","[10197, 10228, 10188, 10085, 10294, 10237, 10144, 10003, 10245, 10005]"
12046,"[10294, 10079, 10298, 10114, 10170, 10262, 10163, 10213, 10281, 10198]","[10294, 10262, 10237, 10003, 10245, 10180, 10171, 10005, 10223, 10045]"
12047,"[10188, 10228, 10099, 10171, 10083, 10033, 10073, 10213, 10243, 10059]","[10228, 10188, 10294, 10237, 10144, 10245, 10180, 10171, 10005, 10033]"
12048,"[10197, 10294, 10228, 10112, 10237, 10240, 10099, 10245, 10144, 10003]","[10197, 10228, 10294, 10237, 10144, 10003, 10245, 10180, 10005, 10223]"
12049,"[10228, 10188, 10294, 10059, 10217, 10262, 10224, 10038, 10083, 10033]","[10228, 10188, 10294, 10262, 10003, 10245, 10180, 10005, 10045, 10112]"
12050,"[10188, 10228, 10085, 10294, 10180, 10059, 10171, 10083, 10195, 10125]","[10228, 10188, 10085, 10294, 10003, 10180, 10171, 10005, 10223, 10112]"
12051,"[10085, 10188, 10228, 10294, 10262, 10223, 10170, 10125, 10180, 10171]","[10228, 10188, 10085, 10294, 10262, 10237, 10003, 10245, 10180, 10171]"
12052,"[10197, 10188, 10268, 10294, 10228, 10262, 10144, 10223, 10171, 10100]","[10268, 10197, 10228, 10188, 10294, 10262, 10144, 10003, 10245, 10180]"
12053,"[10085, 10228, 10033, 10125, 10083, 10059, 10170, 10274, 10180, 10223]","[10228, 10085, 10237, 10003, 10245, 10180, 10171, 10005, 10223, 10045]"
12054,"[10197, 10085, 10223, 10073, 10180, 10170, 10281, 10067, 10163, 10237]","[10197, 10085, 10237, 10003, 10180, 10171, 10223, 10045, 10125, 10033]"
12056,"[10188, 10085, 10294, 10281, 10083, 10224, 10033, 10125, 10172, 10135]","[10188, 10085, 10294, 10237, 10003, 10245, 10180, 10171, 10005, 10045]"
12057,"[10085, 10268, 10144, 10171, 10237, 10033, 10125, 10172, 10272, 10021]","[10268, 10085, 10237, 10144, 10171, 10005, 10045, 10125, 10033, 10240]"
12058,"[10104, 10243, 10073, 10114, 10163, 10021, 10125, 10135, 10094, 10146]","[10188, 10262, 10237, 10144, 10003, 10245, 10180, 10045, 10112, 10125]"
12059,"[10085, 10294, 10188, 10228, 10240, 10223, 10125, 10171, 10180, 10033]","[10228, 10188, 10085, 10294, 10003, 10245, 10180, 10171, 10005, 10223]"
12060,"[10188, 10294, 10228, 10262, 10144, 10223, 10003, 10171, 10073, 10100]","[10228, 10188, 10294, 10262, 10237, 10144, 10003, 10171, 10005, 10223]"
12061,"[10268, 10188, 10294, 10125, 10223, 10262, 10099, 10083, 10171, 10059]","[10268, 10188, 10294, 10262, 10237, 10144, 10003, 10180, 10171, 10005]"
12062,"[10188, 10228, 10217, 10085, 10059, 10224, 10262, 10139, 10099, 10033]","[10228, 10188, 10085, 10294, 10262, 10237, 10144, 10003, 10245, 10180]"
12064,"[10294, 10262, 10144, 10114, 10073, 10067, 10173, 10170, 10243, 10099]","[10294, 10262, 10237, 10144, 10003, 10171, 10005, 10045, 10112, 10125]"
12065,"[10197, 10085, 10228, 10170, 10073, 10135, 10114, 10137, 10145, 10173]","[10197, 10228, 10085, 10237, 10003, 10245, 10180, 10171, 10223, 10045]"
12066,"[10197, 10188, 10228, 10059, 10224, 10033, 10180, 10073, 10083, 10173]","[10197, 10228, 10188, 10237, 10144, 10003, 10245, 10180, 10171, 10005]"
12067,"[10197, 10083, 10275, 10059, 10094, 10099, 10272, 10195, 10217, 10038]","[10197, 10228, 10188, 10294, 10237, 10003, 10245, 10180, 10171, 10005]"
12068,"[10085, 10268, 10294, 10223, 10171, 10262, 10125, 10099, 10217, 10083]","[10268, 10085, 10294, 10262, 10003, 10171, 10005, 10223, 10045, 10125]"
12069,"[10188, 10228, 10197, 10144, 10237, 10083, 10099, 10180, 10005, 10003]","[10197, 10228, 10188, 10237, 10144, 10003, 10245, 10180, 10005, 10223]"
12070,"[10197, 10268, 10188, 10085, 10294, 10099, 10171, 10125, 10083, 10240]","[10268, 10197, 10188, 10085, 10294, 10262, 10237, 10003, 10171, 10005]"
12071,"[10197, 10268, 10188, 10228, 10073, 10144, 10170, 10243, 10095, 10163]","[10268, 10197, 10228, 10188, 10237, 10144, 10245, 10171, 10005, 10045]"
12072,"[10275, 10281, 10099, 10104, 10172, 10092, 10217, 10211, 10021, 10016]","[10228, 10188, 10085, 10294, 10262, 10237, 10003, 10245, 10180, 10171]"
12073,"[10085, 10188, 10197, 10144, 10262, 10125, 10180, 10171, 10112, 10217]","[10197, 10188, 10085, 10262, 10144, 10003, 10180, 10171, 10045, 10112]"
12075,"[10188, 10262, 10144, 10171, 10003, 10016, 10180, 10112, 10005, 10001]","[10188, 10262, 10144, 10003, 10245, 10180, 10171, 10005, 10223, 10045]"
12078,"[10085, 10294, 10262, 10268, 10144, 10060, 10281, 10125, 10059, 10072]","[10268, 10085, 10294, 10262, 10237, 10144, 10003, 10245, 10180, 10171]"
12080,"[10085, 10294, 10188, 10262, 10281, 10083, 10275, 10144, 10224, 10237]","[10188, 10085, 10294, 10262, 10237, 10144, 10003, 10245, 10180, 10171]"
12081,"[10188, 10197, 10294, 10144, 10073, 10170, 10163, 10114, 10067, 10125]","[10197, 10188, 10294, 10144, 10003, 10245, 10005, 10045, 10112, 10125]"
12082,"[10197, 10188, 10268, 10294, 10262, 10163, 10060, 10201, 10114, 10224]","[10268, 10197, 10188, 10294, 10262, 10237, 10144, 10003, 10245, 10171]"
12083,"[10197, 10188, 10085, 10228, 10144, 10223, 10180, 10171, 10243, 10170]","[10197, 10228, 10188, 10085, 10237, 10144, 10003, 10245, 10180, 10171]"
