K,Precision@K,Recall@K,HitRate@K,MAP@K,NDCG@K,Model,ROC-AUC(pairs),PR-AUC(pairs)
5,0.03134232498394348,0.008465978409559838,0.13423249839434812,0.018595054592164418,0.034664200057425675,Popularity,,
10,0.028002569043031472,0.012779697939963027,0.20937700706486834,0.012573630608312689,0.03226681658124836,Popularity,,
20,0.02594733461785485,0.020908510713382907,0.30571612074502247,0.009734588050213067,0.03240130717226988,Popularity,,
5,0.045857418111753374,0.010306183131150956,0.18304431599229287,0.024534360950545925,0.04650261432756975,Random Forest,0.9088448937735985,0.8705319320792232
10,0.045343609505459216,0.01811087327922253,0.2999357739242132,0.01830533778724744,0.04714953069234811,Random Forest,0.9088448937735985,0.8705319320792232
20,0.0432883750802826,0.031742626850560035,0.44315992292870904,0.01430856518711515,0.04899964874779994,Random Forest,0.9088448937735985,0.8705319320792232
5,0.05934489402697495,0.013837327775116925,0.21515735388567758,0.03647987582958681,0.0628566773819462,Item-Item CF,,
10,0.04900449582530507,0.022921090467621162,0.3037893384714194,0.024416602222134837,0.056129016187354996,Item-Item CF,,
20,0.04203596660244059,0.0356003796577566,0.43031470777135516,0.017745614287821634,0.05367176467025842,Item-Item CF,,
5,0.07488760436737317,0.01597391069536826,0.262684649967887,0.04794423035752516,0.0809670370647637,Matrix Factorization (SVD),,
10,0.06377649325626204,0.025586530740856143,0.36673089274245346,0.03298956028925522,0.07315059588114853,Matrix Factorization (SVD),,
20,0.054206807964033404,0.042856883367976634,0.4900449582530507,0.024254146723746112,0.0691503137880574,Matrix Factorization (SVD),,
