K,Precision@K,Recall@K,HitRate@K,MAP@K,NDCG@K,Model
5,0.09275362318840581,0.07395728984351276,0.357487922705314,0.06199543746645195,0.10917782216237587,Popularity
10,0.06859903381642511,0.11199918621874247,0.4758454106280193,0.05056554313441247,0.10770882238452249,Popularity
20,0.05724637681159421,0.19144512878948872,0.6376811594202898,0.057346244334761425,0.13794314645219521,Popularity
5,0.078743961352657,0.06301215296986375,0.3140096618357488,0.05212962962962963,0.09272118819855782,Random Forest
10,0.055072463768115934,0.08534927501393379,0.3961352657004831,0.04183484580985731,0.08784040418125091,Random Forest
20,0.04384057971014493,0.13855513457243165,0.5483091787439613,0.04549811803676919,0.10805075731818531,Random Forest
5,0.09227053140096618,0.07356409431890654,0.36231884057971014,0.06288848631239935,0.10972408702645159,Item-Item CF
10,0.06956521739130435,0.11514401508820901,0.47101449275362317,0.05277585960578541,0.11023702524413634,Item-Item CF
20,0.05772946859903382,0.19235145108327906,0.644927536231884,0.05954159447943452,0.1400465664852844,Item-Item CF
5,0.04057971014492754,0.028269626516642717,0.18357487922705315,0.022948872785829307,0.04449630380516768,Matrix Factorization (SVD)
10,0.042028985507246375,0.06504438419400056,0.3333333333333333,0.02224821434657241,0.05610144594230353,Matrix Factorization (SVD)
20,0.03731884057971014,0.11611611205741192,0.5,0.026418923813395463,0.07686653978855547,Matrix Factorization (SVD)
