K,Precision@K,Recall@K,HitRate@K,MAP@K,NDCG@K,Model
5,0.0030075187969924814,0.0075732810286586036,0.015037593984962405,0.0057644110275689225,0.007339501496387498,Popularity
10,0.002255639097744361,0.011530542603648709,0.022556390977443608,0.006077694235588972,0.008525730884023443,Popularity
20,0.0016917293233082707,0.013500580131330348,0.03383458646616541,0.006033727682421786,0.009020544026652307,Popularity
5,0.0015037593984962407,0.003813882532418002,0.007518796992481203,0.004135338345864662,0.004563858138099728,Random Forest
10,0.0007518796992481203,0.003813882532418002,0.007518796992481203,0.003947368421052632,0.004281437758923138,Random Forest
20,0.0007518796992481203,0.007596487192215644,0.015037593984962405,0.0040766981556455235,0.005121552447129423,Random Forest
5,0.0018867924528301887,0.00013672409078479628,0.009433962264150943,0.0004716981132075472,0.001378003300402891,Item-Item CF
10,0.0009433962264150943,0.00013672409078479628,0.009433962264150943,0.0002358490566037736,0.0008942298525429318,Item-Item CF
20,0.0014150943396226416,0.0009991375865042805,0.02830188679245283,0.00019754878245444282,0.0013539182432063396,Item-Item CF
5,0.0007518796992481203,0.0037593984962406013,0.0037593984962406013,0.0037593984962406013,0.0037593984962406013,Matrix Factorization (SVD)
10,0.00037593984962406017,0.0037593984962406013,0.0037593984962406013,0.0037593984962406013,0.0037593984962406013,Matrix Factorization (SVD)
20,0.00037593984962406017,0.007518796992481203,0.007518796992481203,0.003947368421052632,0.004615301686830651,Matrix Factorization (SVD)
