CustomerID,Rank,RF_StockCode,RF_Description,Pop_StockCode,Pop_Description,CF_StockCode,MF_StockCode,Is_True_Positive_RF,Is_True_Positive_Pop
12347,1,23319,BOX OF 6 MINI 50'S CRACKERS,85123A,WHITE HANGING HEART T-LIGHT HOLDER,21212,23245,0,0
12347,2,22144,CHRISTMAS CRAFT LITTLE FRIENDS,85099B,JUMBO BAG RED RETROSPOT,23245,21977,0,0
12347,3,22595,CHRISTMAS GINGHAM HEART,47566,PARTY BUNTING,20725,21212,0,0
12347,4,22909,SET OF 20 VINTAGE CHRISTMAS NAPKINS,84879,ASSORTED COLOUR BIRD ORNAMENT,22382,22730,0,0
12347,5,23344,JUMBO BAG 50'S CHRISTMAS ,20725,LUNCH BAG RED RETROSPOT,21977,22630,0,0
12347,6,21485,RETROSPOT HEART HOT WATER BOTTLE,22720,SET OF 3 CAKE TINS PANTRY DESIGN ,23307,22629,0,0
12347,7,21770,OPEN CLOSED METAL SIGN,22383,LUNCH BAG SUKI  DESIGN ,22993,22951,0,0
12347,8,22082,RIBBON REEL STRIPES DESIGN ,POST,POSTAGE,23207,21671,0,0
12347,9,23356,LOVE HOT WATER BOTTLE,21212,PACK OF 72 RETROSPOT CAKE CASES,22720,22551,0,0
12347,10,23343,JUMBO BAG VINTAGE CHRISTMAS ,20727,LUNCH BAG  BLACK SKULL.,23298,21669,0,0
12349,1,22423,REGENCY CAKESTAND 3 TIER,85123A,WHITE HANGING HEART T-LIGHT HOLDER,85123A,85123A,1,0
12349,2,22139,RETROSPOT TEA SET CERAMIC 11 PC ,22423,REGENCY CAKESTAND 3 TIER,22423,22423,0,1
12349,3,22624,IVORY KITCHEN SCALES,85099B,JUMBO BAG RED RETROSPOT,85099B,85099B,0,0
12349,4,23298,SPOTTY BUNTING,47566,PARTY BUNTING,47566,47566,0,0
12349,5,22720,SET OF 3 CAKE TINS PANTRY DESIGN ,84879,ASSORTED COLOUR BIRD ORNAMENT,84879,84879,1,0
12349,6,22111,SCOTTIE DOG HOT WATER BOTTLE,20725,LUNCH BAG RED RETROSPOT,20725,20725,0,0
12349,7,22138,BAKING SET 9 PIECE RETROSPOT ,22720,SET OF 3 CAKE TINS PANTRY DESIGN ,22720,22720,0,1
12349,8,21034,REX CASH+CARRY JUMBO SHOPPER,22383,LUNCH BAG SUKI  DESIGN ,22383,22383,0,0
12349,9,22086,PAPER CHAIN KIT 50'S CHRISTMAS ,POST,POSTAGE,POST,POST,0,1
12349,10,85099B,JUMBO BAG RED RETROSPOT,21212,PACK OF 72 RETROSPOT CAKE CASES,21212,21212,0,0
12356,1,23319,BOX OF 6 MINI 50'S CRACKERS,85123A,WHITE HANGING HEART T-LIGHT HOLDER,21977,21977,0,0
12356,2,22144,CHRISTMAS CRAFT LITTLE FRIENDS,85099B,JUMBO BAG RED RETROSPOT,21232,21975,0,0
12356,3,22595,CHRISTMAS GINGHAM HEART,47566,PARTY BUNTING,22966,22417,0,0
12356,4,22909,SET OF 20 VINTAGE CHRISTMAS NAPKINS,84879,ASSORTED COLOUR BIRD ORNAMENT,21121,22697,0,0
12356,5,22082,RIBBON REEL STRIPES DESIGN ,20725,LUNCH BAG RED RETROSPOT,21975,21210,0,0
12356,6,22577,WOODEN HEART CHRISTMAS SCANDINAVIAN,22720,SET OF 3 CAKE TINS PANTRY DESIGN ,23307,21232,0,0
12356,7,23356,LOVE HOT WATER BOTTLE,22383,LUNCH BAG SUKI  DESIGN ,22720,22966,0,0
12356,8,85049E,SCANDINAVIAN REDS RIBBONS,20727,LUNCH BAG  BLACK SKULL.,22417,23307,0,0
12356,9,23343,JUMBO BAG VINTAGE CHRISTMAS ,23298,SPOTTY BUNTING,22993,84988,0,0
12356,10,21770,OPEN CLOSED METAL SIGN,23203,JUMBO BAG DOILEY PATTERNS,20725,23173,0,0
12358,1,22595,CHRISTMAS GINGHAM HEART,85123A,WHITE HANGING HEART T-LIGHT HOLDER,37446,22423,0,0
12358,2,22909,SET OF 20 VINTAGE CHRISTMAS NAPKINS,22423,REGENCY CAKESTAND 3 TIER,85014B,21231,0,0
12358,3,23298,SPOTTY BUNTING,85099B,JUMBO BAG RED RETROSPOT,85014A,85014B,0,0
12358,4,22423,REGENCY CAKESTAND 3 TIER,47566,PARTY BUNTING,37448,21843,0,0
12358,5,22086,PAPER CHAIN KIT 50'S CHRISTMAS ,84879,ASSORTED COLOUR BIRD ORNAMENT,37450,85099B,0,0
12358,6,22720,SET OF 3 CAKE TINS PANTRY DESIGN ,20725,LUNCH BAG RED RETROSPOT,21231,20685,0,0
12358,7,22144,CHRISTMAS CRAFT LITTLE FRIENDS,22720,SET OF 3 CAKE TINS PANTRY DESIGN ,22649,21524,0,0
12358,8,22910,PAPER CHAIN KIT VINTAGE CHRISTMAS,22383,LUNCH BAG SUKI  DESIGN ,22055,22646,0,0
12358,9,22469,HEART OF WICKER SMALL,21212,PACK OF 72 RETROSPOT CAKE CASES,22061,47559B,0,0
12358,10,22138,BAKING SET 9 PIECE RETROSPOT ,20727,LUNCH BAG  BLACK SKULL.,22057,48194,0,0
12362,1,35970,ZINC FOLKART SLEIGH BELLS,85123A,WHITE HANGING HEART T-LIGHT HOLDER,23207,22556,0,0
12362,2,22734,SET OF 6 RIBBONS VINTAGE CHRISTMAS,84879,ASSORTED COLOUR BIRD ORNAMENT,20727,23084,0,0
12362,3,22144,CHRISTMAS CRAFT LITTLE FRIENDS,22720,SET OF 3 CAKE TINS PANTRY DESIGN ,22384,22697,0,0
12362,4,22595,CHRISTMAS GINGHAM HEART,21212,PACK OF 72 RETROSPOT CAKE CASES,21212,22729,0,0
12362,5,21892,TRADITIONAL WOODEN CATCH CUP GAME ,20727,LUNCH BAG  BLACK SKULL.,23199,23207,0,0
12362,6,22909,SET OF 20 VINTAGE CHRISTMAS NAPKINS,23298,SPOTTY BUNTING,23298,22730,0,0
12362,7,21770,OPEN CLOSED METAL SIGN,22457,NATURAL SLATE HEART CHALKBOARD ,23201,20727,0,0
12362,8,23343,JUMBO BAG VINTAGE CHRISTMAS ,22469,HEART OF WICKER SMALL,22993,22698,0,0
12362,9,23344,JUMBO BAG 50'S CHRISTMAS ,22384,LUNCH BAG PINK POLKADOT,22720,20719,0,0
12362,10,23356,LOVE HOT WATER BOTTLE,22961,JAM MAKING SET PRINTED,23202,22634,0,0
12364,1,23319,BOX OF 6 MINI 50'S CRACKERS,85123A,WHITE HANGING HEART T-LIGHT HOLDER,21975,84992,0,0
12364,2,22144,CHRISTMAS CRAFT LITTLE FRIENDS,22423,REGENCY CAKESTAND 3 TIER,22417,21975,0,0
12364,3,22969,HOMEMADE JAM SCENTED CANDLES,85099B,JUMBO BAG RED RETROSPOT,84992,22417,0,0
12364,4,22595,CHRISTMAS GINGHAM HEART,84879,ASSORTED COLOUR BIRD ORNAMENT,20725,21210,0,0
12364,5,22952,60 CAKE CASES VINTAGE CHRISTMAS,20725,LUNCH BAG RED RETROSPOT,20727,20676,0,0
12364,6,22909,SET OF 20 VINTAGE CHRISTMAS NAPKINS,22720,SET OF 3 CAKE TINS PANTRY DESIGN ,22382,22907,0,0
12364,7,22910,PAPER CHAIN KIT VINTAGE CHRISTMAS,22383,LUNCH BAG SUKI  DESIGN ,21210,20675,0,0
12364,8,22086,PAPER CHAIN KIT 50'S CHRISTMAS ,20727,LUNCH BAG  BLACK SKULL.,21559,22084,0,0
12364,9,21485,RETROSPOT HEART HOT WATER BOTTLE,23203,JUMBO BAG DOILEY PATTERNS,22384,84378,0,0
12364,10,21770,OPEN CLOSED METAL SIGN,23209,LUNCH BAG DOILEY PATTERN ,20726,22083,0,0
12367,1,22423,REGENCY CAKESTAND 3 TIER,85123A,WHITE HANGING HEART T-LIGHT HOLDER,85123A,85123A,0,0
12367,2,22139,RETROSPOT TEA SET CERAMIC 11 PC ,22423,REGENCY CAKESTAND 3 TIER,22423,22423,0,0
12367,3,22624,IVORY KITCHEN SCALES,85099B,JUMBO BAG RED RETROSPOT,85099B,85099B,0,0
12367,4,23298,SPOTTY BUNTING,47566,PARTY BUNTING,47566,47566,0,0
12367,5,22720,SET OF 3 CAKE TINS PANTRY DESIGN ,84879,ASSORTED COLOUR BIRD ORNAMENT,84879,84879,0,0
12367,6,22111,SCOTTIE DOG HOT WATER BOTTLE,20725,LUNCH BAG RED RETROSPOT,20725,20725,0,0
12367,7,22138,BAKING SET 9 PIECE RETROSPOT ,22720,SET OF 3 CAKE TINS PANTRY DESIGN ,22720,22720,0,0
12367,8,21034,REX CASH+CARRY JUMBO SHOPPER,22383,LUNCH BAG SUKI  DESIGN ,22383,22383,0,0
12367,9,22086,PAPER CHAIN KIT 50'S CHRISTMAS ,POST,POSTAGE,POST,POST,0,1
12367,10,85099B,JUMBO BAG RED RETROSPOT,21212,PACK OF 72 RETROSPOT CAKE CASES,21212,21212,0,0
12374,1,22423,REGENCY CAKESTAND 3 TIER,85123A,WHITE HANGING HEART T-LIGHT HOLDER,85123A,85123A,1,0
