visitorid,Top10_RandomForest,Top10_Popularity
4537,"[143416, 461686, 147684, 283138, 264179, 373600, 141908, 7943, 372568, 445224]","[461686, 119736, 213834, 445351, 48030, 7943, 17478, 369447, 312728, 420960]"
8411,"[461686, 143416, 147684, 218170, 213834, 243355, 263008, 19789, 267601, 373600]","[461686, 119736, 213834, 445351, 48030, 7943, 17478, 369447, 312728, 420960]"
9145,"[461686, 143416, 147684, 213834, 32581, 218170, 19789, 8015, 383662, 84160]","[461686, 119736, 213834, 445351, 48030, 7943, 17478, 369447, 312728, 420960]"
17970,"[461686, 143416, 147684, 373600, 283138, 264179, 141908, 213834, 453390, 136860]","[461686, 119736, 213834, 445351, 48030, 7943, 17478, 369447, 312728, 420960]"
18024,"[143416, 461686, 147684, 283138, 264179, 373600, 141908, 7943, 372568, 445224]","[461686, 119736, 213834, 445351, 48030, 7943, 17478, 369447, 312728, 420960]"
29744,"[461686, 143416, 147684, 213834, 19789, 453390, 140156, 373600, 82586, 283138]","[461686, 119736, 213834, 445351, 48030, 7943, 17478, 369447, 312728, 420960]"
29802,"[461686, 143416, 147684, 82586, 358348, 120763, 213834, 373600, 453390, 140156]","[461686, 119736, 213834, 445351, 48030, 7943, 17478, 369447, 312728, 420960]"
36866,"[461686, 143416, 453390, 140156, 147684, 213834, 120763, 283138, 264179, 373600]","[461686, 119736, 213834, 445351, 48030, 7943, 17478, 369447, 312728, 420960]"
42552,"[143416, 214630, 141240, 19789, 450455, 373600, 150318, 25514, 141908, 322032]","[461686, 119736, 213834, 445351, 48030, 7943, 17478, 369447, 312728, 420960]"
43176,"[461686, 143416, 147684, 283138, 373600, 264179, 243355, 141908, 213834, 400946]","[461686, 119736, 213834, 445351, 48030, 7943, 17478, 369447, 312728, 420960]"
45270,"[461686, 143416, 147684, 373600, 283138, 264179, 141908, 213834, 453390, 243355]","[461686, 119736, 213834, 445351, 48030, 7943, 17478, 369447, 312728, 420960]"
47803,"[143416, 461686, 147684, 373600, 283138, 264179, 141908, 243355, 453390, 140156]","[461686, 119736, 213834, 445351, 48030, 7943, 17478, 369447, 312728, 420960]"
49266,"[461686, 143416, 147684, 373600, 264179, 283138, 243355, 141908, 400946, 136860]","[461686, 119736, 213834, 445351, 48030, 7943, 17478, 369447, 312728, 420960]"
52493,"[143416, 461686, 147684, 283138, 264179, 373600, 141908, 243355, 216592, 453390]","[461686, 119736, 213834, 445351, 48030, 7943, 17478, 369447, 312728, 420960]"
52701,"[461686, 143416, 213834, 82586, 453390, 147684, 136860, 321905, 84160, 214630]","[461686, 119736, 213834, 445351, 48030, 7943, 17478, 369447, 312728, 420960]"
55897,"[461686, 143416, 213834, 147684, 373600, 140156, 400946, 453390, 136860, 19789]","[461686, 119736, 213834, 445351, 48030, 7943, 17478, 369447, 312728, 420960]"
56971,"[461686, 143416, 147684, 373600, 283138, 264179, 141908, 453390, 243355, 140156]","[461686, 119736, 213834, 445351, 48030, 7943, 17478, 369447, 312728, 420960]"
68318,"[461686, 143416, 147684, 283138, 264179, 373600, 213834, 141908, 400946, 453390]","[461686, 119736, 213834, 445351, 48030, 7943, 17478, 369447, 312728, 420960]"
76124,"[143416, 461686, 147684, 283138, 264179, 373600, 141908, 216592, 243355, 453390]","[461686, 119736, 213834, 445351, 48030, 7943, 17478, 369447, 312728, 420960]"
83600,"[461686, 143416, 147684, 283138, 213834, 82586, 264179, 453390, 19789, 140156]","[461686, 119736, 213834, 445351, 48030, 7943, 17478, 369447, 312728, 420960]"
100439,"[143416, 461686, 150318, 383662, 373600, 19789, 120763, 141908, 25514, 213834]","[461686, 119736, 213834, 445351, 48030, 7943, 17478, 369447, 312728, 420960]"
103171,"[143416, 461686, 147684, 283138, 264179, 373600, 141908, 7943, 372568, 445224]","[461686, 119736, 213834, 445351, 48030, 7943, 17478, 369447, 312728, 420960]"
113592,"[143416, 461686, 147684, 283138, 264179, 373600, 141908, 216592, 243355, 453390]","[461686, 119736, 213834, 445351, 48030, 7943, 17478, 369447, 312728, 420960]"
